ruid,rid,startdate,enddate
944,217,2021-09-11,2021-09-24
945,64,2021-08-25,2021-08-28
946,119,2023-12-16,2023-12-20
947,361,2021-06-21,2021-06-25
948,443,2024-01-30,2024-02-11
949,190,2021-12-27,2022-01-03
950,400,2021-01-07,2021-01-21
951,88,2019-03-30,2019-04-10
952,203,2022-06-27,2022-07-07
953,244,2023-01-14,2023-01-26
954,251,2023-09-16,2023-09-21
955,294,2020-06-18,2020-07-02
956,107,2021-03-27,2021-04-08
957,5,2024-03-03,2024-03-15
958,211,2021-07-03,2021-07-17
960,404,2022-12-09,2022-12-20
961,323,2023-09-17,2023-09-20
962,227,2021-11-27,2021-12-11
963,207,2022-08-12,2022-08-23
964,66,2020-10-04,2020-10-08
965,405,2022-12-03,2022-12-12
966,422,2020-07-05,2020-07-09
967,285,2021-01-07,2021-01-12
968,171,2022-04-03,2022-04-13
969,124,2023-09-04,2023-09-18
970,326,2021-09-16,2021-09-26
971,206,2022-01-20,2022-01-28
972,62,2019-10-01,2019-10-09
973,314,2022-08-11,2022-08-18
974,43,2021-05-22,2021-06-05
975,441,2021-03-11,2021-03-23
977,347,2019-11-30,2019-12-12
978,112,2019-05-16,2019-05-28
980,403,2022-10-27,2022-11-09
981,2,2019-06-03,2019-06-14
983,372,2021-09-22,2021-09-28
984,50,2022-04-11,2022-04-16
985,182,2020-07-29,2020-08-10
986,78,2020-04-13,2020-04-20
987,175,2020-01-14,2020-01-24
988,280,2023-09-16,2023-09-20
989,123,2021-09-10,2021-09-13
990,289,2020-11-10,2020-11-17
991,15,2022-12-26,2023-01-01
992,129,2021-02-18,2021-02-22
993,166,2020-07-29,2020-08-10
994,218,2021-12-31,2022-01-13
996,399,2022-02-26,2022-03-05
997,109,2020-05-25,2020-06-01
998,242,2020-01-27,2020-02-10
999,263,2022-05-02,2022-05-10
1000,330,2019-05-19,2019-06-01
1001,408,2023-02-11,2023-02-22
1002,269,2024-02-04,2024-02-13
1003,325,2020-08-06,2020-08-13
1005,270,2023-07-13,2023-07-24
1007,214,2021-06-14,2021-06-27
1008,183,2021-05-12,2021-05-16
1009,209,2021-07-22,2021-07-25
1010,33,2020-06-26,2020-07-07
1011,115,2020-02-09,2020-02-15
1012,56,2023-11-27,2023-12-11
1013,276,2020-02-02,2020-02-16
1014,410,2019-11-09,2019-11-12
1015,393,2020-04-28,2020-05-03
1017,256,2019-12-21,2019-12-24
1018,380,2019-07-04,2019-07-10
1019,248,2019-02-06,2019-02-09
1020,338,2022-10-08,2022-10-16
1021,93,2023-09-03,2023-09-07
1022,49,2022-09-10,2022-09-20
1023,112,2024-02-07,2024-02-14
1024,230,2021-10-30,2021-11-11
1025,245,2021-06-16,2021-06-22
1026,54,2020-02-01,2020-02-05
1027,271,2021-05-09,2021-05-21
1028,222,2021-05-05,2021-05-17
1029,18,2022-09-25,2022-10-02
1030,191,2019-05-13,2019-05-25
1032,136,2019-04-01,2019-04-13
1033,377,2021-09-05,2021-09-14
1034,126,2022-06-09,2022-06-22
1035,65,2023-06-09,2023-06-19
1036,184,2020-11-10,2020-11-18
1037,52,2019-07-31,2019-08-08
1038,66,2019-01-05,2019-01-14
1039,10,2019-07-18,2019-07-22
1040,437,2020-12-29,2021-01-09
1041,12,2020-05-03,2020-05-12
1043,344,2022-03-29,2022-04-05
1045,132,2021-02-07,2021-02-12
1047,160,2021-03-12,2021-03-15
1048,213,2023-10-20,2023-11-02
1049,271,2020-01-03,2020-01-16
1054,402,2022-02-21,2022-03-02
1055,158,2024-01-21,2024-01-30
1057,165,2020-11-03,2020-11-15
1059,166,2023-04-01,2023-04-13
1060,221,2019-01-15,2019-01-22
1061,340,2023-02-26,2023-03-02
1062,434,2022-04-23,2022-05-03
1063,105,2020-07-08,2020-07-14
1064,331,2020-11-15,2020-11-29
1065,241,2020-07-28,2020-08-08
1067,212,2022-06-27,2022-07-07
1068,154,2019-10-29,2019-11-12
1069,259,2020-07-15,2020-07-29
1070,104,2021-08-27,2021-09-01
1071,341,2020-11-19,2020-11-23
1072,418,2023-11-11,2023-11-15
1073,296,2023-08-28,2023-09-09
1075,413,2021-10-22,2021-10-26
1076,33,2023-02-26,2023-03-12
1077,207,2021-09-03,2021-09-11
1079,301,2023-10-30,2023-11-11
1080,15,2021-06-10,2021-06-16
1081,341,2023-09-17,2023-09-20
1082,149,2021-04-17,2021-04-20
1085,311,2020-12-11,2020-12-15
1086,403,2020-02-25,2020-03-06
1087,428,2020-08-25,2020-09-01
1090,108,2020-09-24,2020-10-06
1091,70,2022-03-26,2022-04-01
1092,245,2022-03-21,2022-03-31
1095,349,2019-10-05,2019-10-16
1096,177,2024-03-03,2024-03-11
1097,176,2020-02-03,2020-02-06
1098,168,2020-06-26,2020-07-07
1099,37,2021-03-12,2021-03-15
1100,98,2023-06-09,2023-06-19
1101,150,2021-11-07,2021-11-10
1102,265,2020-04-04,2020-04-12
1103,148,2023-02-23,2023-03-05
1104,147,2019-07-22,2019-07-27
1105,299,2020-12-09,2020-12-21
1106,450,2020-01-14,2020-01-17
1107,244,2019-05-25,2019-06-07
1108,55,2023-09-06,2023-09-17
1109,87,2021-12-25,2022-01-02
1110,340,2020-04-15,2020-04-28
1111,307,2020-10-19,2020-11-01
1113,275,2021-06-21,2021-06-25
1114,133,2022-04-27,2022-05-11
1115,371,2022-03-17,2022-03-28
1116,318,2021-06-10,2021-06-16
1117,171,2020-05-23,2020-06-04
1119,92,2023-03-18,2023-03-22
1120,356,2020-11-10,2020-11-18
1121,180,2021-08-15,2021-08-23
1122,174,2019-07-01,2019-07-11
1124,134,2023-07-31,2023-08-03
1125,431,2021-03-13,2021-03-18
1126,29,2019-02-15,2019-02-23
1128,72,2019-07-05,2019-07-19
1129,267,2020-08-06,2020-08-13
1130,447,2021-06-08,2021-06-14
1131,442,2022-05-25,2022-06-05
1132,373,2022-01-19,2022-01-24
1133,272,2021-03-18,2021-03-29
1135,309,2022-02-02,2022-02-07
1136,408,2022-08-23,2022-08-28
1137,163,2023-10-26,2023-11-04
1138,195,2021-08-04,2021-08-10
1139,377,2019-10-09,2019-10-22
1141,235,2022-02-12,2022-02-18
1142,285,2021-10-12,2021-10-20
1143,116,2019-10-18,2019-10-29
1144,324,2020-08-02,2020-08-05
1145,62,2022-12-20,2022-12-27
1146,125,2020-02-29,2020-03-08
1147,104,2019-11-02,2019-11-08
1148,287,2020-05-25,2020-06-01
1149,161,2021-08-30,2021-09-08
1150,417,2020-03-26,2020-04-09
1151,315,2023-01-01,2023-01-13
1152,121,2022-07-04,2022-07-18
1153,400,2019-12-24,2020-01-01
1154,36,2021-06-08,2021-06-18
1156,316,2022-02-14,2022-02-19
1157,365,2019-08-18,2019-08-31
1159,131,2023-11-12,2023-11-26
1160,86,2023-01-30,2023-02-13
1161,169,2021-04-19,2021-04-22
1164,361,2022-02-22,2022-02-27
1165,425,2020-03-14,2020-03-24
1166,243,2022-08-08,2022-08-15
1167,12,2022-02-25,2022-03-04
1168,368,2022-07-08,2022-07-12
1169,431,2022-05-25,2022-06-05
1170,384,2022-07-04,2022-07-08
1171,310,2022-04-20,2022-05-01
1172,154,2020-08-25,2020-09-01
1173,364,2019-02-03,2019-02-16
1176,59,2022-03-19,2022-03-31
1177,172,2021-05-18,2021-06-01
1178,153,2019-06-03,2019-06-14
1180,84,2019-02-02,2019-02-09
1181,30,2023-05-31,2023-06-14
1183,247,2024-01-15,2024-01-19
1185,66,2020-07-23,2020-07-29
1186,435,2023-01-25,2023-01-30
1187,294,2019-10-09,2019-10-22
1188,397,2023-07-31,2023-08-08
1189,5,2021-11-18,2021-12-02
1191,412,2022-04-19,2022-04-28
1193,238,2021-03-13,2021-03-17
1194,102,2023-11-05,2023-11-17
1195,316,2023-10-14,2023-10-25
1197,153,2020-07-19,2020-07-29
1198,217,2022-12-25,2023-01-02
1199,183,2022-02-21,2022-03-02
1200,143,2019-07-24,2019-08-06
1201,381,2023-02-26,2023-03-11
1204,397,2021-11-19,2021-12-03
1206,50,2023-08-08,2023-08-11
1207,310,2020-05-01,2020-05-14
1208,115,2020-06-10,2020-06-17
1209,24,2020-06-06,2020-06-15
1210,56,2023-05-20,2023-05-29
1211,229,2020-08-30,2020-09-10
1212,266,2023-05-05,2023-05-09
1213,364,2021-05-17,2021-06-01
1214,134,2019-01-16,2019-01-23
1215,372,2022-02-12,2022-02-17
1216,347,2019-09-15,2019-09-25
1217,365,2021-07-20,2021-07-24
1219,397,2021-08-11,2021-08-24
1220,259,2023-04-13,2023-04-20
1221,130,2022-05-04,2022-05-18
1222,344,2021-09-05,2021-09-11
1223,62,2021-08-15,2021-08-23
1224,241,2021-08-02,2021-08-16
1225,229,2019-05-13,2019-05-25
1226,354,2020-09-09,2020-09-19
1227,137,2020-02-22,2020-03-07
1229,134,2022-03-07,2022-03-10
1230,323,2020-03-31,2020-04-03
1231,141,2019-11-29,2019-12-08
1232,421,2022-06-21,2022-06-29
1233,12,2020-11-25,2020-12-09
1234,133,2019-10-01,2019-10-06
1236,239,2019-09-21,2019-09-24
1237,5,2022-11-07,2022-11-14
1238,117,2021-01-17,2021-01-27
1239,32,2021-04-01,2021-04-06
1240,337,2023-03-29,2023-04-02
1241,148,2021-05-16,2021-05-23
1242,97,2023-08-03,2023-08-08
1244,30,2021-04-01,2021-04-06
1245,274,2020-01-03,2020-01-16
1246,68,2023-12-15,2023-12-22
1247,30,2021-03-22,2021-03-31
1248,243,2020-11-10,2020-11-17
1249,342,2020-06-13,2020-06-27
1250,400,2022-08-07,2022-08-21
1251,147,2023-04-25,2023-05-08
1252,387,2020-02-20,2020-03-02
1253,58,2022-03-10,2022-03-15
1254,69,2020-05-01,2020-05-14
1255,56,2020-02-09,2020-02-15
1256,374,2021-11-03,2021-11-06
1257,350,2019-04-22,2019-04-26
1258,183,2023-11-28,2023-12-04
1259,184,2022-09-13,2022-09-25
1260,271,2021-09-23,2021-10-07
1261,215,2024-01-20,2024-01-29
1262,128,2022-03-08,2022-03-14
1263,6,2022-02-05,2022-02-16
1264,429,2021-07-24,2021-08-07
1265,56,2019-06-12,2019-06-22
1266,5,2022-05-04,2022-05-12
1267,153,2024-01-15,2024-01-19
1268,362,2022-09-05,2022-09-12
1269,389,2023-08-17,2023-08-27
1270,322,2020-07-14,2020-07-26
1271,343,2021-11-27,2021-12-11
1272,421,2019-05-17,2019-05-24
1276,69,2023-09-17,2023-09-20
1277,247,2022-11-06,2022-11-13
1278,387,2021-08-27,2021-09-01
1279,65,2022-03-29,2022-04-05
1282,157,2022-06-30,2022-07-05
1283,248,2019-01-16,2019-01-25
1284,402,2019-06-21,2019-06-27
1285,225,2021-06-13,2021-06-27
1286,428,2021-03-23,2021-04-02
1287,330,2023-05-15,2023-05-28
1288,87,2023-01-18,2023-02-01
1289,264,2023-07-28,2023-08-02
1291,20,2021-06-20,2021-07-03
1292,113,2023-05-13,2023-05-19
1294,11,2021-02-05,2021-02-11
1295,227,2023-01-29,2023-02-01
1296,331,2022-11-08,2022-11-21
1298,246,2020-10-03,2020-10-15
1300,358,2022-04-24,2022-05-02
1301,271,2022-02-07,2022-02-19
1302,10,2020-11-04,2020-11-16
1303,361,2023-06-12,2023-06-22
1304,330,2019-09-11,2019-09-19
1305,44,2022-04-05,2022-04-08
1306,443,2019-09-17,2019-09-26
1307,37,2021-08-21,2021-09-03
1310,212,2019-10-29,2019-11-12
1311,122,2021-05-16,2021-05-30
1312,371,2019-07-02,2019-07-16
1313,105,2023-07-18,2023-07-21
1315,350,2022-03-05,2022-03-17
1317,124,2022-02-18,2022-02-21
1318,3,2022-04-27,2022-05-11
1319,415,2020-10-21,2020-10-24
1321,316,2020-03-16,2020-03-27
1322,83,2021-03-15,2021-03-26
1323,333,2021-05-04,2021-05-18
1324,175,2021-11-05,2021-11-10
1325,343,2022-11-04,2022-11-11
1326,43,2020-04-23,2020-04-28
1327,12,2020-01-14,2020-01-17
1328,271,2023-01-13,2023-01-26
1330,80,2020-02-23,2020-02-27
1332,123,2019-11-26,2019-11-29
1333,165,2021-12-06,2021-12-10
1335,113,2021-03-07,2021-03-18
1336,14,2023-12-15,2023-12-22
1338,111,2020-07-28,2020-08-08
1339,181,2021-05-31,2021-06-10
1340,406,2022-06-27,2022-07-07
1341,320,2019-09-06,2019-09-14
1342,129,2023-09-16,2023-09-20
1343,199,2021-07-10,2021-07-13
1346,232,2021-12-20,2022-01-02
1347,435,2023-11-13,2023-11-16
1348,257,2019-09-17,2019-09-26
1350,101,2021-12-31,2022-01-04
1351,172,2020-01-30,2020-02-05
1352,136,2021-12-08,2021-12-16
1353,340,2021-03-22,2021-03-31
1355,396,2022-04-07,2022-04-14
1356,431,2021-11-07,2021-11-10
1357,273,2020-10-30,2020-11-07
1358,423,2021-11-05,2021-11-10
1360,277,2019-09-10,2019-09-24
1361,104,2023-08-13,2023-08-24
1362,45,2021-03-26,2021-04-05
1363,414,2023-10-14,2023-10-28
1364,187,2021-12-24,2021-12-29
1365,203,2020-10-10,2020-10-13
1366,403,2022-09-11,2022-09-14
1367,123,2019-10-28,2019-11-07
1368,298,2022-01-19,2022-01-24
1369,412,2021-01-28,2021-02-05
1371,408,2023-06-04,2023-06-16
1372,176,2022-07-21,2022-07-24
1373,396,2019-02-04,2019-02-16
1375,7,2023-10-05,2023-10-12
1376,324,2022-01-19,2022-01-29
1377,321,2023-08-17,2023-08-22
1378,59,2022-04-27,2022-05-11
1379,202,2019-05-01,2019-05-05
1380,195,2022-07-08,2022-07-12
1384,267,2024-01-01,2024-01-04
1385,277,2021-09-17,2021-09-29
1386,227,2019-03-24,2019-04-03
1387,424,2021-02-25,2021-03-05
1388,336,2020-12-16,2020-12-29
1390,184,2023-01-15,2023-01-21
1391,111,2022-03-15,2022-03-28
1392,124,2023-06-16,2023-06-22
1393,76,2024-01-29,2024-02-12
1394,119,2019-12-26,2019-12-29
1395,196,2020-10-28,2020-11-06
1396,63,2023-05-15,2023-05-28
1397,143,2019-10-19,2019-10-24
1398,9,2022-02-13,2022-02-20
1399,128,2023-01-22,2023-02-04
1402,360,2020-05-05,2020-05-15
1403,84,2022-09-10,2022-09-20
1404,286,2020-12-01,2020-12-08
1406,140,2023-08-23,2023-09-02
1409,383,2022-06-14,2022-06-28
1410,102,2020-12-29,2021-01-05
1411,75,2019-06-03,2019-06-14
1412,335,2019-09-11,2019-09-19
1414,427,2023-02-26,2023-03-12
1415,276,2020-09-09,2020-09-14
1417,244,2019-08-13,2019-08-26
1418,421,2023-03-08,2023-03-15
1419,67,2021-03-29,2021-04-06
1420,156,2019-06-01,2019-06-11
1421,169,2023-08-23,2023-09-02
1422,220,2020-06-21,2020-07-03
1423,426,2021-10-12,2021-10-17
1425,188,2023-07-31,2023-08-03
1426,178,2020-02-14,2020-02-24
1428,320,2022-09-26,2022-10-03
1429,232,2021-03-24,2021-04-03
1431,241,2022-02-05,2022-02-16
1432,231,2019-03-14,2019-03-27
1433,447,2019-03-04,2019-03-14
1434,212,2020-08-16,2020-08-23
1435,105,2023-02-05,2023-02-17
1436,19,2021-10-30,2021-11-12
1437,17,2020-07-13,2020-07-21
1438,350,2022-07-04,2022-07-08
1440,299,2021-12-28,2022-01-06
1441,63,2019-10-24,2019-11-01
1442,11,2021-04-01,2021-04-06
1444,203,2019-04-10,2019-04-16
1446,169,2022-12-20,2023-01-03
1447,443,2024-01-15,2024-01-26
1448,292,2019-12-13,2019-12-26
1449,94,2019-10-17,2019-10-20
1450,362,2021-08-18,2021-08-26
1451,76,2022-11-19,2022-12-02
1452,305,2023-09-12,2023-09-16
1453,219,2022-09-22,2022-09-28
1454,242,2023-05-11,2023-05-24
1455,101,2020-10-28,2020-11-09
1456,251,2020-07-31,2020-08-12
1458,173,2020-12-14,2020-12-28
1460,331,2023-08-18,2023-08-27
1461,274,2020-10-05,2020-10-10
1462,162,2019-12-23,2020-01-05
1463,358,2020-11-05,2020-11-12
1465,42,2019-10-24,2019-11-01
1466,101,2020-09-11,2020-09-18
1467,241,2020-09-04,2020-09-18
1468,64,2021-01-17,2021-01-27
1470,319,2024-02-03,2024-02-10
1471,357,2022-11-24,2022-12-07
1472,134,2021-11-05,2021-11-17
1473,277,2023-04-01,2023-04-13
1474,385,2023-01-13,2023-01-26
1475,375,2022-04-05,2022-04-08
1476,131,2023-10-20,2023-10-29
1477,105,2021-05-07,2021-05-15
1478,348,2019-05-26,2019-06-04
1479,230,2019-11-11,2019-11-20
1481,399,2023-07-01,2023-07-05
1482,20,2020-12-22,2021-01-02
1483,128,2023-07-31,2023-08-03
1484,430,2023-05-12,2023-05-22
1485,125,2024-01-15,2024-01-19
1486,42,2019-03-30,2019-04-10
1487,220,2020-08-25,2020-09-01
1488,66,2019-04-14,2019-04-27
1489,387,2022-02-01,2022-02-06
1490,429,2022-11-11,2022-11-19
1491,117,2019-07-04,2019-07-10
1492,322,2022-11-11,2022-11-19
1494,131,2020-05-05,2020-05-15
1495,356,2022-03-10,2022-03-15
1497,153,2021-09-16,2021-09-19
1498,259,2023-02-18,2023-03-01
1499,1,2020-09-24,2020-10-06
1500,138,2021-01-07,2021-01-12
1501,389,2020-10-03,2020-10-15
1503,288,2020-06-25,2020-06-30
1504,432,2022-12-25,2023-01-02
1505,351,2023-03-04,2023-03-18
1507,246,2021-03-13,2021-03-17
1509,77,2022-09-05,2022-09-12
1510,107,2022-04-24,2022-05-02
1511,414,2019-07-02,2019-07-16
1514,20,2023-07-29,2023-08-12
1516,158,2019-04-10,2019-04-16
1517,15,2020-06-06,2020-06-15
1518,52,2021-06-04,2021-06-11
1519,350,2023-01-29,2023-02-02
1520,48,2022-12-06,2022-12-11
1522,190,2020-05-15,2020-05-19
1525,258,2022-10-03,2022-10-12
1526,270,2019-11-07,2019-11-16
1527,73,2023-10-22,2023-11-05
1528,450,2020-09-01,2020-09-15
1529,2,2023-04-07,2023-04-13
1530,225,2023-11-14,2023-11-21
1531,164,2022-12-09,2022-12-20
1532,6,2021-10-25,2021-10-31
1533,424,2019-08-05,2019-08-14
1534,410,2023-11-04,2023-11-07
1535,131,2021-02-17,2021-02-20
1536,212,2022-05-14,2022-05-27
1537,81,2023-10-30,2023-11-11
1538,131,2019-12-21,2020-01-02
1540,282,2023-10-20,2023-11-02
1541,370,2020-05-06,2020-05-20
1542,34,2020-11-02,2020-11-08
1543,103,2022-02-14,2022-02-19
1544,361,2020-05-25,2020-05-30
1545,303,2023-09-30,2023-10-12
1546,256,2023-08-28,2023-09-09
1547,20,2019-12-23,2020-01-05
1548,120,2021-04-17,2021-04-20
1549,51,2023-09-24,2023-09-28
1550,187,2021-09-19,2021-09-25
1551,217,2021-02-16,2021-03-01
1552,140,2022-03-29,2022-04-05
1553,345,2021-07-16,2021-07-30
1554,56,2019-10-06,2019-10-17
1555,138,2023-05-30,2023-06-07
1556,134,2021-08-23,2021-09-05
1557,290,2023-02-26,2023-03-02
1558,112,2021-10-12,2021-10-18
1559,24,2019-10-13,2019-10-19
1560,5,2021-02-25,2021-03-05
1561,37,2024-01-04,2024-01-11
1563,239,2022-06-05,2022-06-14
1564,394,2022-03-26,2022-04-05
1565,80,2020-06-10,2020-06-17
1566,256,2022-02-09,2022-02-20
1567,43,2023-04-26,2023-05-04
1568,153,2022-08-02,2022-08-08
1569,424,2020-02-03,2020-02-17
1570,103,2021-10-05,2021-10-15
1571,285,2023-11-13,2023-11-27
1572,419,2023-11-28,2023-12-04
1573,414,2019-08-16,2019-08-27
1574,89,2020-11-22,2020-11-27
1575,96,2021-06-03,2021-06-17
1576,299,2019-07-24,2019-08-06
1577,33,2022-07-31,2022-08-11
1578,447,2019-10-01,2019-10-06
1579,115,2019-09-17,2019-09-26
1580,268,2023-07-15,2023-07-18
1581,259,2023-12-02,2023-12-08
1582,137,2022-08-07,2022-08-11
1583,60,2022-02-13,2022-02-20
1584,129,2021-09-30,2021-10-03
1585,126,2019-06-25,2019-07-06
1586,186,2020-07-15,2020-07-29
1588,436,2021-06-19,2021-06-28
1590,410,2019-03-16,2019-03-26
1591,362,2020-02-20,2020-03-02
1592,213,2020-01-27,2020-01-30
1593,307,2021-03-26,2021-04-05
1594,266,2021-03-11,2021-03-23
1595,4,2022-07-31,2022-08-11
1596,231,2023-09-28,2023-10-09
1597,91,2022-02-18,2022-02-21
1598,98,2023-06-25,2023-06-28
1600,370,2023-03-08,2023-03-17
1601,173,2019-11-12,2019-11-15
1602,287,2020-10-07,2020-10-11
1603,45,2021-06-22,2021-06-28
1604,121,2023-08-19,2023-08-30
1605,197,2020-12-22,2021-01-02
1606,431,2020-10-05,2020-10-14
1607,406,2020-06-04,2020-06-16
1608,431,2020-10-28,2020-11-06
1609,236,2022-04-19,2022-04-28
1610,200,2019-11-14,2019-11-17
1611,67,2023-05-07,2023-05-13
1612,141,2023-03-18,2023-03-28
1613,334,2019-05-16,2019-05-30
1614,172,2023-05-02,2023-05-16
1615,366,2022-11-23,2022-12-02
1617,426,2019-04-03,2019-04-15
1618,181,2021-07-08,2021-07-19
1619,64,2022-02-14,2022-02-19
1620,170,2022-06-25,2022-07-05
1621,442,2021-01-01,2021-01-14
1622,90,2020-12-29,2021-01-03
1623,272,2021-08-03,2021-08-14
1624,387,2019-10-21,2019-10-27
1627,6,2022-06-20,2022-06-27
1628,325,2021-02-12,2021-02-18
1629,101,2022-06-09,2022-06-22
1631,5,2024-04-03,2024-04-10
1632,248,2021-06-22,2021-06-28
1633,190,2023-01-28,2023-02-10
1635,435,2020-10-17,2020-10-23
1636,328,2024-02-03,2024-02-10
1637,142,2023-10-26,2023-11-04
1639,6,2019-06-04,2019-06-07
1640,296,2022-09-14,2022-09-22
1642,447,2022-05-03,2022-05-13
1643,56,2022-06-04,2022-06-12
1644,97,2019-12-11,2019-12-24
1645,32,2020-04-16,2020-04-27
1647,356,2020-08-16,2020-08-24
1649,50,2019-03-12,2019-03-17
1650,71,2020-06-06,2020-06-15
1651,319,2022-04-24,2022-05-02
1652,352,2023-11-18,2023-11-22
1653,182,2022-03-29,2022-04-05
1654,216,2020-06-12,2020-06-26
1655,373,2021-03-07,2021-03-12
1657,286,2023-11-23,2023-12-03
1658,45,2022-11-08,2022-11-21
1660,1,2019-05-25,2019-05-29
1661,188,2022-06-15,2022-06-24
1662,420,2020-05-19,2020-05-31
1663,272,2021-10-15,2021-10-28
1664,195,2020-07-28,2020-08-02
1665,49,2020-12-22,2021-01-02
1667,58,2021-08-29,2021-09-09
1669,130,2023-09-30,2023-10-12
1670,278,2019-04-17,2019-05-01
1671,115,2021-05-24,2021-06-04
1673,432,2019-10-13,2019-10-27
1674,66,2023-12-05,2023-12-15
1675,127,2021-08-12,2021-08-22
1676,135,2019-11-06,2019-11-12
1677,324,2023-08-11,2023-08-18
1678,378,2020-03-12,2020-03-24
1679,335,2021-05-12,2021-05-21
1681,321,2022-10-07,2022-10-18
1682,273,2021-10-15,2021-10-24
1683,7,2020-11-30,2020-12-09
1684,8,2020-02-14,2020-02-19
1685,337,2022-07-17,2022-07-26
1686,114,2022-03-21,2022-03-31
1687,215,2023-11-25,2023-12-01
1690,83,2020-10-17,2020-10-28
1691,261,2021-08-17,2021-08-20
1692,231,2020-08-04,2020-08-17
1694,186,2019-06-27,2019-07-10
1696,346,2022-10-18,2022-10-27
1697,319,2019-05-29,2019-06-11
1700,189,2021-09-23,2021-10-07
1701,356,2022-03-07,2022-03-10
1702,278,2021-10-05,2021-10-15
1703,164,2021-03-14,2021-03-25
1705,361,2019-11-09,2019-11-22
1706,363,2022-03-19,2022-03-24
1707,62,2020-05-10,2020-05-21
1708,415,2019-11-09,2019-11-14
1709,182,2020-07-21,2020-07-26
1710,271,2024-01-15,2024-01-19
1712,98,2021-05-31,2021-06-10
1713,83,2021-02-08,2021-02-18
1715,237,2022-05-08,2022-05-15
1716,417,2019-08-16,2019-08-21
1717,105,2021-12-16,2021-12-24
1719,147,2020-07-19,2020-07-29
1720,272,2023-04-23,2023-05-04
1721,205,2019-05-04,2019-05-12
1722,383,2023-04-11,2023-04-20
1723,406,2021-02-16,2021-03-01
1724,14,2022-08-26,2022-09-05
1725,25,2021-12-06,2021-12-20
1726,425,2020-01-23,2020-01-30
1727,210,2022-01-02,2022-01-15
1728,94,2022-02-12,2022-02-18
1729,335,2022-11-24,2022-12-07
1730,165,2022-07-11,2022-07-24
1731,315,2021-02-23,2021-03-03
1732,120,2020-05-01,2020-05-14
1735,318,2022-11-06,2022-11-13
1736,332,2020-01-17,2020-01-20
1737,271,2019-05-26,2019-05-30
1738,397,2022-06-02,2022-06-10
1741,377,2023-04-19,2023-05-02
1742,122,2022-08-12,2022-08-23
1744,2,2022-02-12,2022-02-17
1745,363,2023-05-18,2023-05-26
1746,421,2022-12-05,2022-12-11
1747,30,2020-02-14,2020-02-19
1748,309,2022-11-26,2022-12-01
1749,100,2022-11-11,2022-11-19
1750,92,2019-05-25,2019-05-29
1751,76,2019-09-28,2019-10-05
1752,113,2024-01-01,2024-01-04
1753,304,2019-04-23,2019-05-02
1754,203,2020-04-17,2020-04-30
1755,321,2023-07-08,2023-07-14
1756,426,2023-08-17,2023-08-23
1757,242,2020-01-03,2020-01-16
1758,208,2021-01-17,2021-01-22
1759,254,2020-07-31,2020-08-03
1760,133,2023-11-13,2023-11-27
1761,243,2020-07-14,2020-07-26
1762,329,2023-10-30,2023-11-05
1763,372,2023-06-16,2023-06-22
1764,10,2019-08-05,2019-08-14
1765,433,2023-09-24,2023-10-06
1766,410,2022-10-16,2022-10-25
1767,102,2023-03-14,2023-03-17
1768,399,2022-01-04,2022-01-17
1769,127,2020-07-06,2020-07-12
1770,195,2021-02-10,2021-02-17
1771,263,2022-08-05,2022-08-15
1772,387,2024-01-29,2024-02-12
1773,253,2023-11-16,2023-11-21
1774,396,2022-12-25,2023-01-05
1775,201,2022-07-31,2022-08-11
1776,378,2021-06-22,2021-07-01
1777,14,2020-11-05,2020-11-12
1778,384,2019-01-24,2019-02-04
1779,419,2023-06-26,2023-07-03
1780,278,2022-11-08,2022-11-21
1781,174,2020-05-13,2020-05-27
1782,242,2022-06-27,2022-07-07
1783,145,2021-07-20,2021-07-24
1784,196,2019-03-27,2019-04-10
1786,226,2019-08-05,2019-08-16
1787,241,2021-11-07,2021-11-17
1788,217,2019-06-18,2019-06-22
1789,307,2019-02-04,2019-02-16
1790,130,2023-01-14,2023-01-26
1791,333,2021-07-11,2021-07-14
1793,47,2020-02-11,2020-02-19
1794,270,2023-11-28,2023-12-04
1795,279,2019-06-07,2019-06-13
1796,421,2023-03-26,2023-04-08
1797,174,2021-02-27,2021-03-03
1798,202,2019-04-01,2019-04-13
1799,249,2024-01-04,2024-01-11
1800,80,2019-10-11,2019-10-24
1802,337,2019-07-02,2019-07-05
1803,268,2019-04-10,2019-04-16
1805,368,2021-02-25,2021-03-05
1806,427,2022-02-22,2022-02-27
1807,387,2019-02-08,2019-02-13
1808,166,2020-10-17,2020-10-23
1809,87,2019-12-21,2019-12-24
1811,186,2020-05-19,2020-05-24
1813,228,2023-03-04,2023-03-18
1814,163,2022-10-07,2022-10-20
1816,22,2020-10-04,2020-10-08
1819,56,2023-03-26,2023-04-08
1820,82,2022-09-15,2022-09-21
1822,386,2021-09-17,2021-09-28
1825,439,2023-01-02,2023-01-06
1826,245,2020-10-05,2020-10-14
1827,257,2020-03-12,2020-03-22
1828,313,2021-07-17,2021-07-27
1830,190,2021-04-16,2021-04-21
1831,400,2019-05-29,2019-06-11
1832,131,2020-02-22,2020-03-07
1833,300,2024-01-28,2024-02-02
1834,252,2023-04-09,2023-04-14
1836,366,2021-02-07,2021-02-21
1838,274,2019-02-07,2019-02-20
1839,437,2021-10-05,2021-10-15
1840,122,2020-03-19,2020-03-22
1841,258,2022-08-31,2022-09-12
